"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 07, 2021","1,191.00","1,211.00","1,211.85","1,187.35","2.56M","-0.76%"
"Sep 06, 2021","1,200.15","1,175.00","1,210.10","1,174.00","4.33M","2.16%"
"Sep 03, 2021","1,174.75","1,173.50","1,180.60","1,158.25","4.53M","0.17%"
"Sep 02, 2021","1,172.75","1,172.00","1,182.00","1,154.00","5.22M","0.70%"
"Sep 01, 2021","1,164.65","1,190.00","1,190.50","1,161.75","3.20M","-1.49%"
"Aug 31, 2021","1,182.30","1,166.00","1,193.40","1,162.05","7.20M","1.62%"
"Aug 30, 2021","1,163.40","1,164.00","1,170.35","1,154.55","2.96M","0.04%"
"Aug 27, 2021","1,162.95","1,167.45","1,169.75","1,159.50","3.05M","-0.39%"
"Aug 26, 2021","1,167.45","1,159.90","1,172.00","1,155.00","4.65M","1.13%"
"Aug 25, 2021","1,154.35","1,159.90","1,169.90","1,140.30","3.45M","0.13%"
"Aug 24, 2021","1,152.90","1,167.95","1,173.00","1,150.00","3.95M","-0.88%"
"Aug 23, 2021","1,163.10","1,129.00","1,178.20","1,126.05","9.38M","4.09%"
"Aug 20, 2021","1,117.35","1,107.50","1,140.75","1,107.20","3.47M","-1.49%"
"Aug 18, 2021","1,134.25","1,157.90","1,157.90","1,131.60","4.87M","-0.76%"
"Aug 17, 2021","1,142.95","1,119.25","1,151.95","1,112.55","5.30M","1.72%"
"Aug 16, 2021","1,123.65","1,120.95","1,129.35","1,114.35","3.16M","0.38%"
"Aug 13, 2021","1,119.45","1,099.00","1,123.95","1,090.20","7.27M","2.09%"
"Aug 12, 2021","1,096.50","1,071.00","1,101.15","1,068.00","6.54M","2.77%"
"Aug 11, 2021","1,066.95","1,070.95","1,079.00","1,057.15","5.01M","0.31%"
"Aug 10, 2021","1,063.70","1,052.50","1,072.30","1,048.00","5.87M","1.25%"
"Aug 09, 2021","1,050.55","1,057.80","1,066.75","1,043.50","6.32M","0.06%"
"Aug 06, 2021","1,049.95","1,061.15","1,070.00","1,043.00","11.58M","-1.06%"
"Aug 05, 2021","1,061.15","1,040.00","1,073.00","1,033.70","7.90M","2.04%"
"Aug 04, 2021","1,039.95","1,041.10","1,047.75","1,034.60","3.12M","0.05%"
"Aug 03, 2021","1,039.45","1,030.00","1,042.95","1,024.00","3.36M","0.39%"
"Aug 02, 2021","1,035.40","1,034.00","1,039.00","1,023.05","2.54M","1.02%"
"Jul 30, 2021","1,024.95","1,013.00","1,049.95","1,009.90","9.33M","1.72%"
"Jul 29, 2021","1,007.60","985.55","1,009.00","985.55","4.73M","2.49%"
"Jul 28, 2021","983.10","995.00","995.95","977.30","2.95M","-0.90%"
"Jul 27, 2021","992.00","1,000.00","1,002.20","983.85","2.88M","-0.83%"
"Jul 26, 2021","1,000.30","994.00","1,004.00","987.25","2.48M","0.63%"
"Jul 23, 2021","994.00","984.70","1,003.90","982.60","5.27M","1.57%"
"Jul 22, 2021","978.60","970.00","981.50","970.00","6.16M","0.14%"
"Jul 20, 2021","977.20","999.00","1,012.20","969.35","10.22M","-2.30%"
"Jul 19, 2021","1,000.20","1,005.00","1,018.30","992.50","4.64M","-0.48%"
"Jul 16, 2021","1,005.00","1,044.90","1,048.75","998.05","8.67M","-3.34%"
"Jul 15, 2021","1,039.75","993.00","1,052.50","990.80","12.70M","5.08%"
"Jul 14, 2021","989.45","968.25","992.95","968.10","4.37M","2.22%"
"Jul 13, 2021","967.95","983.00","983.00","964.00","3.00M","-1.17%"
"Jul 12, 2021","979.45","980.00","983.05","975.00","2.04M","0.27%"
"Jul 09, 2021","976.85","972.00","979.50","966.60","3.22M","0.01%"
"Jul 08, 2021","976.80","975.00","982.00","970.00","2.56M","0.15%"
"Jul 07, 2021","975.35","970.00","977.60","960.30","3.01M","0.34%"
"Jul 06, 2021","972.05","980.00","982.20","970.20","2.49M","-0.79%"
"Jul 05, 2021","979.75","991.70","995.90","978.00","2.60M","-0.50%"
"Jul 02, 2021","984.65","983.55","987.60","977.25","1.65M","-0.09%"
"Jul 01, 2021","985.50","987.00","988.00","975.15","2.86M","0.20%"
"Jun 30, 2021","983.50","981.00","991.45","981.00","2.68M","-0.01%"
"Jun 29, 2021","983.60","986.95","993.90","980.50","1.90M","-0.17%"
"Jun 28, 2021","985.30","1,000.00","1,000.00","984.20","1.84M","-1.04%"
"Jun 25, 2021","995.65","995.00","1,010.00","989.25","5.20M","0.60%"
"Jun 24, 2021","989.70","972.00","994.60","969.10","4.69M","1.73%"
"Jun 23, 2021","972.90","985.00","985.00","971.00","2.40M","-0.73%"
"Jun 22, 2021","980.10","982.10","988.20","976.25","2.53M","-0.19%"
"Jun 21, 2021","982.00","968.00","983.45","961.25","1.64M","0.69%"
"Jun 18, 2021","975.25","990.00","996.70","970.10","5.62M","-1.13%"
"Jun 17, 2021","986.40","980.00","988.95","978.55","3.61M","0.71%"
"Jun 16, 2021","979.40","984.05","986.00","974.00","3.14M","-0.61%"
"Jun 15, 2021","985.45","985.10","993.00","983.20","2.56M","0.13%"
"Jun 14, 2021","984.20","983.00","988.45","976.00","2.24M","0.09%"
"Jun 11, 2021","983.35","976.00","990.00","970.50","4.78M","1.53%"
"Jun 10, 2021","968.55","979.50","981.65","966.55","3.88M","-0.28%"
"Jun 09, 2021","971.30","973.90","985.00","965.10","5.52M","0.42%"
"Jun 08, 2021","967.20","952.00","972.00","951.45","6.39M","1.85%"
"Jun 07, 2021","949.60","939.00","951.95","937.10","3.28M","1.39%"
"Jun 04, 2021","936.55","940.10","944.20","934.75","3.55M","-0.31%"
"Jun 03, 2021","939.45","945.00","949.80","937.00","4.16M","-0.46%"
"Jun 02, 2021","943.75","947.00","950.70","937.60","3.66M","-0.73%"
"Jun 01, 2021","950.70","948.00","952.00","942.05","2.94M","0.58%"
"May 31, 2021","945.20","941.55","947.85","932.60","4.17M","0.28%"
"May 28, 2021","942.55","940.05","949.75","937.40","4.10M","0.02%"
"May 27, 2021","942.40","949.00","956.90","938.10","9.08M","-0.36%"
"May 26, 2021","945.80","940.00","948.95","932.55","5.02M","0.55%"
"May 25, 2021","940.60","938.00","943.80","935.15","5.03M","0.84%"
"May 24, 2021","932.80","931.50","939.00","927.70","4.19M","0.23%"
"May 21, 2021","930.65","925.50","934.65","923.00","4.16M","0.68%"
"May 20, 2021","924.40","932.00","934.80","922.05","4.75M","-0.75%"
"May 19, 2021","931.40","928.00","941.00","925.15","4.18M","-0.02%"
"May 18, 2021","931.60","928.00","939.50","924.50","5.91M","1.02%"
"May 17, 2021","922.15","914.60","927.20","910.10","7.96M","1.30%"
"May 14, 2021","910.35","909.00","912.00","896.50","5.18M","0.47%"
"May 12, 2021","906.10","906.15","908.95","895.00","4.08M","-0.13%"
