"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 03, 2021","1,576.05","1,585.00","1,598.00","1,568.95","5.02M","-0.81%"
"Sep 02, 2021","1,589.00","1,574.10","1,592.00","1,571.25","4.81M","0.63%"
"Sep 01, 2021","1,579.10","1,575.00","1,598.00","1,574.50","6.21M","-0.15%"
"Aug 31, 2021","1,581.40","1,563.50","1,583.35","1,562.20","6.03M","0.84%"
"Aug 30, 2021","1,568.25","1,555.60","1,570.00","1,551.60","4.52M","1.28%"
"Aug 27, 2021","1,548.45","1,552.00","1,558.65","1,545.25","3.19M","-0.41%"
"Aug 26, 2021","1,554.80","1,550.00","1,571.00","1,543.45","5.56M","-0.17%"
"Aug 25, 2021","1,557.40","1,552.10","1,564.80","1,548.00","3.86M","-0.09%"
"Aug 24, 2021","1,558.85","1,530.00","1,564.50","1,527.45","9.19M","2.25%"
"Aug 23, 2021","1,524.60","1,529.85","1,533.15","1,508.65","5.42M","0.65%"
"Aug 20, 2021","1,514.75","1,486.05","1,519.80","1,486.05","6.58M","0.12%"
"Aug 18, 2021","1,513.00","1,556.70","1,565.35","1,508.35","11.49M","-0.11%"
"Aug 17, 2021","1,514.65","1,517.20","1,524.00","1,505.30","4.14M","-1.04%"
"Aug 16, 2021","1,530.60","1,526.15","1,535.00","1,521.45","3.13M","0.29%"
"Aug 13, 2021","1,526.20","1,501.20","1,531.00","1,501.00","8.33M","1.65%"
"Aug 12, 2021","1,501.40","1,497.00","1,507.60","1,489.30","4.30M","0.43%"
"Aug 11, 2021","1,494.95","1,514.90","1,518.85","1,491.05","6.29M","-0.84%"
"Aug 10, 2021","1,507.65","1,489.00","1,519.75","1,489.00","7.42M","0.25%"
"Aug 09, 2021","1,503.90","1,492.00","1,507.35","1,476.00","5.50M","0.75%"
"Aug 06, 2021","1,492.65","1,483.55","1,500.00","1,474.00","6.67M","0.53%"
"Aug 05, 2021","1,484.85","1,467.10","1,507.05","1,457.40","9.41M","1.33%"
"Aug 04, 2021","1,465.30","1,441.00","1,474.50","1,440.00","11.03M","2.13%"
"Aug 03, 2021","1,434.70","1,410.00","1,439.90","1,410.00","6.02M","0.85%"
"Aug 02, 2021","1,422.65","1,435.00","1,435.00","1,416.25","6.63M","-0.27%"
"Jul 30, 2021","1,426.45","1,419.00","1,431.75","1,407.95","5.83M","0.58%"
"Jul 29, 2021","1,418.25","1,428.25","1,429.95","1,413.30","6.85M","0.07%"
"Jul 28, 2021","1,417.30","1,435.05","1,438.70","1,404.00","10.34M","-1.56%"
"Jul 27, 2021","1,439.75","1,436.10","1,449.90","1,436.10","11.20M","0.36%"
"Jul 26, 2021","1,434.55","1,430.00","1,444.00","1,428.10","6.58M","-0.57%"
"Jul 23, 2021","1,442.75","1,451.50","1,457.45","1,435.30","6.56M","-0.41%"
"Jul 22, 2021","1,448.70","1,456.10","1,468.50","1,445.00","6.60M","0.38%"
