"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 30, 2021","791.55","783.50","794.00","783.00","3.03M","2.12%"
"Aug 27, 2021","775.15","779.90","785.00","765.00","2.91M","-0.80%"
"Aug 26, 2021","781.40","771.00","782.90","767.25","2.58M","1.21%"
"Aug 25, 2021","772.05","780.95","783.00","770.55","1.69M","-0.78%"
"Aug 24, 2021","778.15","767.00","779.90","761.60","1.66M","1.60%"
"Aug 23, 2021","765.90","790.00","793.45","763.65","2.51M","-2.51%"
"Aug 20, 2021","785.65","788.80","791.35","776.25","3.05M","-0.72%"
"Aug 18, 2021","791.35","793.90","797.00","786.90","2.45M","0.09%"
"Aug 17, 2021","790.65","799.25","803.95","782.00","3.84M","-1.08%"
"Aug 16, 2021","799.30","780.40","803.95","780.25","7.13M","2.65%"
"Aug 13, 2021","778.65","782.95","789.50","772.60","3.39M","0.32%"
"Aug 12, 2021","776.20","781.00","794.65","773.75","3.55M","-0.32%"
"Aug 11, 2021","778.70","786.30","789.95","767.50","3.15M","-0.97%"
"Aug 10, 2021","786.30","776.95","789.80","775.15","4.72M","1.46%"
"Aug 09, 2021","774.95","762.00","782.00","761.50","6.70M","2.20%"
"Aug 06, 2021","758.25","763.80","772.30","755.00","4.47M","-0.14%"
"Aug 05, 2021","759.35","766.00","766.35","756.70","1.45M","-0.90%"
"Aug 04, 2021","766.25","773.00","775.80","764.55","2.66M","-0.60%"
"Aug 03, 2021","770.85","763.40","772.70","755.50","3.24M","1.74%"
"Aug 02, 2021","757.70","750.00","759.05","744.60","2.26M","1.96%"
"Jul 30, 2021","743.10","735.20","760.00","731.85","4.64M","1.59%"
"Jul 29, 2021","731.45","730.00","738.85","726.10","2.49M","0.38%"
"Jul 28, 2021","728.70","750.70","750.70","724.65","4.02M","-2.26%"
"Jul 27, 2021","745.55","756.00","760.00","742.65","1.73M","-1.16%"
"Jul 26, 2021","754.30","763.00","764.10","752.50","1.19M","-1.30%"
"Jul 23, 2021","764.20","758.50","767.85","758.25","1.18M","0.76%"
"Jul 22, 2021","758.45","764.20","767.10","755.65","2.18M","-0.23%"
"Jul 20, 2021","760.20","775.00","775.70","752.35","2.18M","-2.01%"
"Jul 19, 2021","775.80","775.80","780.70","770.00","1.27M","-0.51%"
"Jul 16, 2021","779.80","784.00","784.00","776.50","845.05K","-0.01%"
"Jul 15, 2021","779.90","781.00","783.95","775.20","2.11M","-0.80%"
"Jul 14, 2021","786.15","780.00","787.00","777.05","2.07M","0.64%"
"Jul 13, 2021","781.15","777.90","782.20","773.65","2.19M","1.07%"
"Jul 12, 2021","772.85","776.00","781.00","768.50","2.68M","0.17%"
"Jul 09, 2021","771.55","772.00","776.00","767.00","1.66M","-0.61%"
"Jul 08, 2021","776.25","777.95","787.60","771.00","2.01M","-0.34%"
"Jul 07, 2021","778.90","777.80","781.90","768.55","3.00M","-0.38%"
"Jul 06, 2021","781.90","790.60","795.00","778.70","1.42M","-1.24%"
"Jul 05, 2021","791.75","786.00","793.50","784.50","1.32M","1.17%"
"Jul 02, 2021","782.60","786.00","787.30","777.00","1.96M","0.40%"
"Jul 01, 2021","779.45","778.00","798.75","774.90","5.70M","0.23%"
"Jun 30, 2021","777.70","784.90","789.40","775.45","2.39M","-0.50%"
"Jun 29, 2021","781.60","789.00","792.00","779.40","3.17M","-1.50%"
"Jun 28, 2021","793.50","795.00","799.00","789.25","1.41M","-0.09%"
"Jun 25, 2021","794.25","793.20","801.90","790.00","1.76M","0.31%"
"Jun 24, 2021","791.80","783.00","794.00","779.00","3.25M","1.26%"
"Jun 23, 2021","781.95","781.90","786.00","775.00","2.70M","0.87%"
"Jun 22, 2021","775.20","780.10","789.55","772.70","2.93M","-0.21%"
"Jun 21, 2021","776.85","776.00","778.85","762.35","3.02M","-0.60%"
"Jun 18, 2021","781.55","806.00","808.95","773.10","5.79M","-3.00%"
"Jun 17, 2021","805.70","802.00","809.90","792.55","1.99M","-0.06%"
"Jun 16, 2021","806.15","808.80","821.85","801.60","3.86M","-0.30%"
"Jun 15, 2021","808.60","807.35","813.50","806.00","1.64M","0.14%"
"Jun 14, 2021","807.45","809.00","809.50","794.00","1.60M","-0.19%"
"Jun 11, 2021","809.00","809.00","815.85","805.50","1.78M","0.25%"
"Jun 10, 2021","806.95","808.00","810.95","803.05","2.26M","0.31%"
"Jun 09, 2021","804.45","808.00","816.75","801.00","4.18M","-0.42%"
"Jun 08, 2021","807.85","804.10","810.00","797.50","2.96M","0.50%"
"Jun 07, 2021","803.85","807.90","811.75","802.60","2.99M","-0.09%"
"Jun 04, 2021","804.60","814.00","814.00","803.10","5.08M","0.32%"
"Jun 03, 2021","802.05","812.00","813.20","798.10","5.00M","-0.51%"
"Jun 02, 2021","806.20","806.30","812.00","802.30","4.24M","-0.01%"
"Jun 01, 2021","806.30","813.00","818.00","800.25","7.23M","-0.20%"
"May 31, 2021","807.95","824.00","824.00","790.00","17.60M","-4.48%"
"May 28, 2021","845.85","829.00","853.00","810.50","11.64M","2.08%"
"May 27, 2021","828.60","825.30","831.00","816.90","6.90M","0.90%"
"May 26, 2021","821.20","816.00","826.00","813.00","3.08M","1.23%"
