"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 02, 2021","2,296.80","2,263.50","2,307.20","2,261.40","4.06M","1.31%"
"Sep 01, 2021","2,267.10","2,273.00","2,292.90","2,263.00","5.14M","0.40%"
"Aug 31, 2021","2,258.15","2,276.90","2,283.75","2,242.25","12.22M","-0.53%"
"Aug 30, 2021","2,270.25","2,250.00","2,275.85","2,236.80","6.47M","1.92%"
"Aug 27, 2021","2,227.40","2,237.00","2,242.75","2,216.05","4.84M","-0.14%"
"Aug 26, 2021","2,230.45","2,208.00","2,244.90","2,205.00","8.58M","1.26%"
"Aug 25, 2021","2,202.60","2,185.40","2,220.00","2,180.10","6.18M","0.87%"
"Aug 24, 2021","2,183.70","2,165.05","2,192.00","2,155.60","5.48M","0.99%"
"Aug 23, 2021","2,162.35","2,174.00","2,174.00","2,132.30","4.55M","0.66%"
"Aug 20, 2021","2,148.25","2,143.00","2,172.00","2,137.00","4.35M","-1.12%"
"Aug 18, 2021","2,172.65","2,174.00","2,186.80","2,152.60","4.65M","0.39%"
"Aug 17, 2021","2,164.25","2,168.85","2,185.20","2,147.85","5.84M","-0.43%"
"Aug 16, 2021","2,173.50","2,149.35","2,203.00","2,128.15","10.12M","1.30%"
"Aug 13, 2021","2,145.65","2,117.30","2,149.90","2,108.95","5.90M","1.67%"
"Aug 12, 2021","2,110.50","2,124.90","2,126.20","2,105.00","3.76M","-0.32%"
"Aug 11, 2021","2,117.30","2,096.95","2,120.00","2,083.40","4.24M","1.40%"
"Aug 10, 2021","2,088.05","2,082.00","2,113.00","2,073.75","5.50M","0.52%"
"Aug 09, 2021","2,077.15","2,081.00","2,089.80","2,066.50","3.46M","-0.57%"
"Aug 06, 2021","2,089.05","2,129.95","2,146.95","2,078.75","7.67M","-2.12%"
"Aug 05, 2021","2,134.25","2,114.30","2,154.80","2,104.25","9.81M","1.45%"
"Aug 04, 2021","2,103.75","2,094.40","2,114.00","2,087.00","6.08M","0.77%"
"Aug 03, 2021","2,087.75","2,090.00","2,091.00","2,064.20","5.45M","0.74%"
"Aug 02, 2021","2,072.50","2,054.30","2,079.40","2,041.15","5.04M","1.83%"
"Jul 30, 2021","2,035.30","2,058.00","2,067.95","2,031.10","5.24M","-0.87%"
"Jul 29, 2021","2,053.25","2,054.00","2,074.40","2,043.40","6.35M","0.78%"
"Jul 28, 2021","2,037.35","2,058.00","2,058.00","2,016.25","5.95M","-0.86%"
"Jul 27, 2021","2,055.00","2,076.80","2,083.70","2,042.00","5.00M","-1.05%"
"Jul 26, 2021","2,076.85","2,108.00","2,121.00","2,071.10","5.72M","-1.37%"
"Jul 23, 2021","2,105.70","2,134.45","2,134.45","2,102.05","4.59M","-0.71%"
"Jul 22, 2021","2,120.70","2,119.00","2,123.90","2,098.15","3.68M","1.28%"
"Jul 20, 2021","2,093.80","2,099.50","2,108.00","2,084.00","3.11M","-0.25%"
"Jul 19, 2021","2,098.95","2,100.00","2,124.00","2,092.25","3.86M","-0.64%"
"Jul 16, 2021","2,112.40","2,087.75","2,114.75","2,087.60","4.07M","1.44%"
"Jul 15, 2021","2,082.35","2,095.00","2,095.00","2,078.50","4.36M","-0.17%"
"Jul 14, 2021","2,086.00","2,100.35","2,106.85","2,081.25","3.94M","-0.65%"
"Jul 13, 2021","2,099.70","2,100.00","2,103.05","2,088.05","3.10M","0.75%"
"Jul 12, 2021","2,084.10","2,079.75","2,101.50","2,074.50","3.96M","0.62%"
"Jul 09, 2021","2,071.20","2,088.00","2,091.70","2,066.10","4.17M","-1.02%"
"Jul 08, 2021","2,092.60","2,116.95","2,116.95","2,081.00","5.16M","-0.83%"
"Jul 07, 2021","2,110.05","2,127.75","2,127.75","2,098.00","4.82M","-0.69%"
"Jul 06, 2021","2,124.80","2,144.95","2,148.90","2,120.20","4.65M","-1.18%"
"Jul 05, 2021","2,150.20","2,136.45","2,153.55","2,131.50","5.40M","0.99%"
"Jul 02, 2021","2,129.05","2,097.00","2,132.90","2,092.95","6.50M","1.48%"
"Jul 01, 2021","2,097.95","2,118.00","2,123.15","2,095.00","5.78M","-0.60%"
"Jun 30, 2021","2,110.65","2,096.25","2,122.65","2,091.05","9.12M","1.09%"
"Jun 29, 2021","2,087.80","2,089.50","2,109.00","2,084.10","12.53M","0.09%"
"Jun 28, 2021","2,086.00","2,122.00","2,126.50","2,081.00","9.36M","-0.88%"
"Jun 25, 2021","2,104.45","2,153.50","2,153.50","2,081.10","25.55M","-2.28%"
"Jun 24, 2021","2,153.50","2,206.85","2,214.60","2,140.00","42.21M","-2.35%"
"Jun 23, 2021","2,205.35","2,250.00","2,250.60","2,201.70","7.69M","-0.92%"
"Jun 22, 2021","2,225.75","2,254.00","2,261.00","2,219.35","5.94M","-0.51%"
"Jun 21, 2021","2,237.25","2,203.50","2,247.50","2,200.15","5.62M","0.52%"
"Jun 18, 2021","2,225.65","2,225.50","2,235.00","2,184.35","13.55M","0.45%"
"Jun 17, 2021","2,215.65","2,200.00","2,235.00","2,179.90","7.27M","0.18%"
"Jun 16, 2021","2,211.60","2,244.90","2,247.05","2,205.85","4.98M","-1.71%"
"Jun 15, 2021","2,250.00","2,261.00","2,274.90","2,240.30","7.00M","0.23%"
"Jun 14, 2021","2,244.90","2,215.00","2,258.25","2,195.05","9.38M","1.43%"
"Jun 11, 2021","2,213.15","2,182.90","2,228.00","2,180.10","6.35M","1.38%"
"Jun 10, 2021","2,183.00","2,193.40","2,230.00","2,177.55","6.53M","0.37%"
"Jun 09, 2021","2,175.00","2,219.00","2,221.00","2,157.95","5.27M","-1.79%"
"Jun 08, 2021","2,214.60","2,226.60","2,227.15","2,198.15","4.46M","-0.57%"
"Jun 07, 2021","2,227.40","2,202.00","2,242.00","2,185.00","7.54M","1.68%"
"Jun 04, 2021","2,190.50","2,214.80","2,216.45","2,184.25","6.68M","-0.87%"
"Jun 03, 2021","2,209.65","2,221.00","2,250.00","2,196.10","11.06M","0.38%"
"Jun 02, 2021","2,201.25","2,157.00","2,209.50","2,157.00","11.37M","1.49%"
"Jun 01, 2021","2,168.90","2,166.00","2,202.00","2,146.50","12.93M","0.40%"
"May 31, 2021","2,160.30","2,102.00","2,191.70","2,085.05","27.29M","3.13%"
"May 28, 2021","2,094.80","1,990.00","2,105.00","1,990.00","26.06M","6.01%"
"May 27, 2021","1,976.10","1,970.30","1,993.00","1,962.25","12.38M","0.31%"
"May 26, 2021","1,970.05","1,975.00","1,979.50","1,965.30","3.45M","0.35%"
"May 25, 2021","1,963.15","1,996.40","1,997.00","1,960.00","6.82M","-1.13%"
"May 24, 2021","1,985.65","2,008.00","2,009.80","1,982.00","3.95M","-0.84%"
"May 21, 2021","2,002.55","1,992.00","2,009.60","1,986.00","4.98M","0.86%"
"May 20, 2021","1,985.40","1,997.90","2,010.90","1,981.00","5.27M","-0.58%"
"May 19, 2021","1,997.05","1,980.00","2,016.45","1,972.00","7.53M","0.46%"
"May 18, 2021","1,987.95","1,981.00","2,002.60","1,972.50","5.57M","1.41%"
"May 17, 2021","1,960.35","1,937.30","1,963.45","1,930.40","5.48M","1.19%"
"May 14, 2021","1,937.30","1,928.05","1,942.00","1,906.00","6.13M","1.26%"
"May 12, 2021","1,913.15","1,930.10","1,932.90","1,907.00","6.08M","-1.03%"
"May 11, 2021","1,933.15","1,915.00","1,938.55","1,910.00","6.22M","0.36%"
"May 10, 2021","1,926.20","1,939.00","1,946.80","1,920.95","6.43M","-0.29%"
"May 07, 2021","1,931.75","1,937.75","1,955.65","1,926.00","5.67M","0.04%"
"May 06, 2021","1,931.00","1,921.85","1,935.00","1,906.60","6.75M","0.57%"
"May 05, 2021","1,920.10","1,923.35","1,938.50","1,908.05","5.72M","0.18%"
"May 04, 2021","1,916.60","1,950.00","1,967.80","1,911.00","10.08M","-2.17%"
"May 03, 2021","1,959.05","1,966.00","1,979.00","1,943.10","10.91M","-1.78%"
"Apr 30, 2021","1,994.50","2,008.50","2,036.00","1,987.55","9.15M","-1.46%"
"Apr 29, 2021","2,024.05","2,022.90","2,044.50","2,007.30","8.04M","1.34%"
"Apr 28, 2021","1,997.30","1,997.85","2,008.00","1,980.15","7.90M","0.43%"
"Apr 27, 2021","1,988.65","1,940.00","1,997.20","1,938.25","9.23M","2.62%"
"Apr 26, 2021","1,937.85","1,920.00","1,962.00","1,911.50","9.62M","1.76%"
"Apr 23, 2021","1,904.35","1,906.00","1,918.90","1,895.35","5.46M","-0.11%"
"Apr 22, 2021","1,906.40","1,892.25","1,914.45","1,876.70","6.69M","0.28%"
"Apr 20, 2021","1,901.15","1,910.50","1,919.00","1,890.45","7.94M","-0.03%"
"Apr 19, 2021","1,901.70","1,904.00","1,916.40","1,890.00","8.53M","-1.57%"
"Apr 16, 2021","1,932.10","1,936.60","1,949.90","1,926.45","7.23M","-0.63%"
"Apr 15, 2021","1,944.30","1,926.30","1,961.00","1,913.00","9.10M","0.65%"
"Apr 13, 2021","1,931.80","1,924.00","1,940.60","1,917.85","8.96M","1.08%"
"Apr 12, 2021","1,911.15","1,959.00","1,961.40","1,900.25","9.65M","-3.58%"
"Apr 09, 2021","1,982.05","1,998.45","2,006.35","1,980.00","6.48M","-1.16%"
"Apr 08, 2021","2,005.35","2,011.00","2,022.00","1,993.00","7.09M","0.12%"
"Apr 07, 2021","2,002.85","2,000.00","2,046.90","1,993.30","11.20M","0.93%"
"Apr 06, 2021","1,984.30","2,004.00","2,004.95","1,969.00","6.47M","-0.42%"
"Apr 05, 2021","1,992.60","2,024.95","2,025.00","1,962.10","6.86M","-1.45%"
"Apr 01, 2021","2,021.85","2,018.00","2,030.00","2,003.15","5.41M","0.94%"
"Mar 31, 2021","2,003.10","2,018.00","2,049.90","1,999.00","7.50M","-1.29%"
